
16:37:12.923 INFO ParseArchs(): Active architecture: i386

16:37:12.923 WARNING ExecuteTask(): org.intel.xrt_builder.Algorithms.ProGuardAlgorithm

16:37:12.924 INFO doConfigAction(): Config file: /Users/wangjiahe/AndroidStudioProjects/AndroidIOS/ios/build/proguard/proguard.cfg

16:37:12.924 INFO start(): Running command line: "[java -jar /Applications/Intel/INDE/multi_os_engine/tools/proguard.jar @/Users/wangjiahe/AndroidStudioProjects/AndroidIOS/ios/build/proguard/proguard.cfg]"

16:37:13.026 INFO run(): module "proGuard": out_stream: "ProGuard, version 5.2.1"

16:37:13.034 INFO run(): module "proGuard": out_stream: "Reading input..."

16:37:13.064 INFO run(): module "proGuard": out_stream: "Reading program directory [/Users/wangjiahe/AndroidStudioProjects/AndroidIOS/ios/build/classes/main]"

16:37:13.075 INFO run(): module "proGuard": out_stream: "Reading library jar [/Applications/Intel/INDE/multi_os_engine/sdk/intel-moe-ios.jar]"

16:37:13.334 INFO run(): module "proGuard": out_stream: "Reading library jar [/Applications/Intel/INDE/multi_os_engine/sdk/intel-moe-core.jar]"

16:37:13.521 INFO run(): module "proGuard": out_stream: "Initializing..."

16:37:13.523 INFO run(): module "proGuard": out_stream: "Note: the configuration refers to the unknown class 'junit.framework.TestCase'"

16:37:13.546 INFO run(): module "proGuard": out_stream: "Note: the configuration refers to the unknown class 'junit.framework.TestCase'"

16:37:13.568 INFO run(): module "proGuard": out_stream: "Note: the configuration refers to the unknown class 'android.app.backup.BackupAgent'"

16:37:13.599 INFO run(): module "proGuard": out_stream: "Note: the configuration refers to the unknown class 'android.appwidget.AppWidgetProvider'"

16:37:13.608 INFO run(): module "proGuard": out_stream: "Note: the configuration refers to the unknown class 'scala.collection.SeqLike'"

16:37:13.618 INFO run(): module "proGuard": out_stream: "Note: the configuration refers to the unknown class 'scala.reflect.ScalaSignature'"

16:37:13.676 INFO run(): module "proGuard": out_stream: "Note: there were 6 references to unknown classes."

16:37:13.676 INFO run(): module "proGuard": out_stream: "      You should check your configuration for typos."

16:37:13.676 INFO run(): module "proGuard": out_stream: "      (http://proguard.sourceforge.net/manual/troubleshooting.html#unknownclass)"

16:37:13.676 INFO run(): module "proGuard": out_stream: "Note: you're ignoring all warnings!"

16:37:13.676 INFO run(): module "proGuard": out_stream: "Ignoring unused library classes..."

16:37:13.676 INFO run(): module "proGuard": out_stream: "  Original number of library classes: 8680"

16:37:13.676 INFO run(): module "proGuard": out_stream: "  Final number of library classes:    216"

16:37:13.676 INFO run(): module "proGuard": out_stream: "Printing kept classes, fields, and methods..."

16:37:13.680 INFO run(): module "proGuard": out_stream: "com.com.intel.ios.ios.Main"

16:37:13.680 INFO run(): module "proGuard": out_stream: "com.com.intel.ios.ios.Main: ios.uikit.UIWindow window"

16:37:13.680 INFO run(): module "proGuard": out_stream: "com.com.intel.ios.ios.Main: void main(java.lang.String[])"

16:37:13.680 INFO run(): module "proGuard": out_stream: "com.com.intel.ios.ios.Main: com.com.intel.ios.ios.Main alloc()"

16:37:13.680 INFO run(): module "proGuard": out_stream: "com.com.intel.ios.ios.Main: Main(com.intel.inde.moe.natj.general.Pointer)"

16:37:13.680 INFO run(): module "proGuard": out_stream: "com.com.intel.ios.ios.Main: boolean applicationDidFinishLaunchingWithOptions(ios.uikit.UIApplication,ios.foundation.NSDictionary)"

16:37:13.680 INFO run(): module "proGuard": out_stream: "com.com.intel.ios.ios.Main: void setWindow(ios.uikit.UIWindow)"

16:37:13.680 INFO run(): module "proGuard": out_stream: "com.com.intel.ios.ios.Main: ios.uikit.UIWindow window()"

16:37:13.680 INFO run(): module "proGuard": out_stream: "com.com.intel.ios.ios.ui.AppViewController"

16:37:13.680 INFO run(): module "proGuard": out_stream: "com.com.intel.ios.ios.ui.AppViewController: ios.uikit.UILabel statusText"

