
16:35:39.996 INFO ParseArchs(): Active architecture: i386

16:35:39.996 WARNING ExecuteTask(): org.intel.xrt_builder.Algorithms.BuildAppAlgorithm

16:35:39.997 INFO start(): Running command line: "[xcodebuild ARCHS=i386  -configuration Debug -sdk iphonesimulator9.1 -target ios -project /Users/wangjiahe/AndroidStudioProjects/AndroidIOS/ios/xcode/ios.xcodeproj]"

16:35:40.271 INFO run(): module "runXCodeBuild": out_stream: "Build settings from command line:"

16:35:40.271 INFO run(): module "runXCodeBuild": out_stream: "    ARCHS = i386 "

16:35:40.271 INFO run(): module "runXCodeBuild": out_stream: "    SDKROOT = iphonesimulator9.1"

16:35:40.271 INFO run(): module "runXCodeBuild": out_stream: ""

16:35:40.400 INFO run(): module "runXCodeBuild": out_stream: "=== BUILD TARGET ios OF PROJECT ios WITH CONFIGURATION Debug ==="

16:35:40.400 INFO run(): module "runXCodeBuild": out_stream: ""

16:35:40.401 INFO run(): module "runXCodeBuild": out_stream: "Check dependencies"

16:35:40.464 INFO run(): module "runXCodeBuild": out_stream: ""

16:35:40.468 INFO run(): module "runXCodeBuild": out_stream: "PhaseScriptExecution Compile\ Java\ Sources /Users/wangjiahe/AndroidStudioProjects/AndroidIOS/ios/build/xcode/ios.build/Debug-iphonesimulator/ios.build/Script-49AA605530A7D95E17B0A3EB.sh"

16:35:40.468 INFO run(): module "runXCodeBuild": out_stream: "    cd /Users/wangjiahe/AndroidStudioProjects/AndroidIOS/ios/xcode"

16:35:40.468 INFO run(): module "runXCodeBuild": out_stream: "    /bin/sh -c /Users/wangjiahe/AndroidStudioProjects/AndroidIOS/ios/build/xcode/ios.build/Debug-iphonesimulator/ios.build/Script-49AA605530A7D95E17B0A3EB.sh"

16:35:40.579 INFO run(): module "runXCodeBuild": out_stream: "java version "1.8.0_51""

16:35:40.579 INFO run(): module "runXCodeBuild": out_stream: "Java(TM) SE Runtime Environment (build 1.8.0_51-b16)"

16:35:40.579 INFO run(): module "runXCodeBuild": out_stream: "Java HotSpot(TM) 64-Bit Server VM (build 25.51-b03, mixed mode)"

16:35:41.755 INFO run(): module "runXCodeBuild": out_stream: ":ios:compileJava UP-TO-DATE"

16:35:41.761 INFO run(): module "runXCodeBuild": out_stream: ":ios:proguard"

16:35:41.761 INFO run(): module "runXCodeBuild": out_stream: ""

16:35:41.761 INFO run(): module "runXCodeBuild": out_stream: "Log file: "/Users/wangjiahe/AndroidStudioProjects/AndroidIOS/ios/build/logs/2015.12.03_16.35.41+0800_BUILD_PROGUARD_LOG.txt"."

16:35:42.684 INFO run(): module "runXCodeBuild": out_stream: ":ios:buildRetro"

16:35:42.685 INFO run(): module "runXCodeBuild": out_stream: ""

16:35:42.685 INFO run(): module "runXCodeBuild": out_stream: "Log file: "/Users/wangjiahe/AndroidStudioProjects/AndroidIOS/ios/build/logs/2015.12.03_16.35.42+0800_BUILD_RETRO_LOG.txt"."

16:35:43.084 INFO run(): module "runXCodeBuild": out_stream: ":ios:buildDex"

16:35:43.085 INFO run(): module "runXCodeBuild": out_stream: ""

16:35:43.085 INFO run(): module "runXCodeBuild": out_stream: "Log file: "/Users/wangjiahe/AndroidStudioProjects/AndroidIOS/ios/build/logs/2015.12.03_16.35.43+0800_BUILD_DEX_LOG.txt"."

16:35:43.542 INFO run(): module "runXCodeBuild": out_stream: ":ios:buildArtOat"

16:35:43.542 INFO run(): module "runXCodeBuild": out_stream: ""

16:35:43.542 INFO run(): module "runXCodeBuild": out_stream: "Log file: "/Users/wangjiahe/AndroidStudioProjects/AndroidIOS/ios/build/logs/2015.12.03_16.35.43+0800_BUILD_ART_OAT_LOG.txt"."

16:35:50.485 INFO run(): module "runXCodeBuild": out_stream: ":ios:buildPreregister"

16:35:50.485 INFO run(): module "runXCodeBuild": out_stream: ""

16:35:50.485 INFO run(): module "runXCodeBuild": out_stream: "Log file: "/Users/wangjiahe/AndroidStudioProjects/AndroidIOS/ios/build/logs/2015.12.03_16.35.50+0800_BUILD_PREREGISTER_LOG.txt"."

16:35:50.489 INFO run(): module "runXCodeBuild": out_stream: ":ios:buildPrecopy"

16:35:50.490 INFO run(): module "runXCodeBuild": out_stream: ""

16:35:50.490 INFO run(): module "runXCodeBuild": out_stream: "Log file: "/Users/wangjiahe/AndroidStudioProjects/AndroidIOS/ios/build/logs/2015.12.03_16.35.50+0800_BUILD_PRECOPY_LOG.txt"."

16:35:50.491 INFO run(): module "runXCodeBuild": out_stream: ""

